stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1447,1447,"FAIRVIEW / GRAND VALLEY",,  43.389018, -80.340913,,,0,
1448,1448,"DUNBAR / GRAND VALLEY",,  43.387987, -80.341603,,,0,
1449,1449,"DUNBAR / ST. GEORGE",,  43.387603, -80.337583,,,0,
1450,1450,"DUNBAR / PINE",,  43.387988, -80.335529,,,0,
1451,1451,"DUNBAR / EASTDOWNS",,  43.388336, -80.333550,,,0,
1452,1452,"DUNBAR / BISCAYNE",,  43.388736, -80.331051,,,0,
1453,1453,"DUNBAR / BRIARWOOD",,  43.389917, -80.326680,,,0,
1454,1454,"DUNBAR / HESPELER",,  43.390343, -80.324070,,,0,
1455,1455,"KING / WESTMINSTER",,  43.396070, -80.358569,,,0,
1456,1456,"SMARTCENTRES CAMBRIDGE",,  43.411698, -80.323622,,,0,
1457,1457,"SMARTCENTRES SOUTH",,  43.410245, -80.322910,,,0,
1458,1458,"HESPELER / EAGLE",,  43.406690, -80.327914,,,0,
1459,1459,"588 HESPELER",,  43.404164, -80.327065,,,0,
1460,1460,"HESPELER / WAUCHOPE",,  43.381161, -80.319962,,,0,
1461,1461,"HESPELER / WILMOT",,  43.379808, -80.319594,,,0,
1462,1462,"HESPELER / JAFFRAY",,  43.377238, -80.319018,,,0,
1463,1463,"WATER / AUGUSTA",,  43.372382, -80.318468,,,0,
1464,1464,"GALT C.I.",,  43.369809, -80.317472,,,0,
1465,1465,"AINSLIE / SIMCOE",,  43.364766, -80.314307,,,0,
1466,1466,"AINSLIE / PARK HILL",,  43.362703, -80.314158,,,0,
1467,1467,"AINSLIE / DICKSON",,  43.359981, -80.313683,,,0,
1468,1468,"AINSLIE / DICKSON",,  43.360322, -80.313494,,,0,
1469,1469,"AINSLIE / COLBORNE",,  43.361889, -80.313525,,,0,
1470,1470,"AINSLIE / PARK HILL",,  43.363684, -80.314085,,,0,
1471,1471,"AINSLIE / MARKET",,  43.365560, -80.314570,,,0,
1472,1472,"WATER / SAMUELSON",,  43.368698, -80.316892,,,0,
1473,1473,"GALT C.I.",,  43.370638, -80.317549,,,0,
1475,1475,"HESPELER / AVENUE",,  43.376920, -80.318540,,,0,
1476,1476,"167 HESPELER",,  43.381375, -80.319688,,,0,
1477,1477,"HESPELER / BISHOP",,  43.395789, -80.323910,,,0,
1478,1478,"499 HESPELER",,  43.398568, -80.324806,,,0,
1479,1479,"HESPELER / LANGS",,  43.400472, -80.325427,,,0,
1480,1480,"561 HESPELER",,  43.403548, -80.326418,,,0,
1482,1482,"SMARTCENTRES SOUTH",,  43.410379, -80.322748,,,0,
1483,1483,"SMARTCENTRES CAMBRIDGE",,  43.411678, -80.324672,,,0,
1484,1484,"FRANKLIN / HOLIDAY INN",,  43.418386, -80.310761,,,0,
1485,1485,"FRANKLIN / PINEBUSH",,  43.411113, -80.308486,,,0,
1486,1486,"FRANKLIN / STAFFORD",,  43.407937, -80.307522,,,0,
1487,1487,"FRANKLIN / SHELDON",,  43.405859, -80.306988,,,0,
1488,1488,"FRANKLIN / TURNBULL",,  43.403472, -80.306103,,,0,
1489,1489,"FRANKLIN / RAGLIN",,  43.400873, -80.305281,,,0,
1490,1490,"FRANKLIN / BISHOP",,  43.399158, -80.304770,,,0,
1491,1491,"FRANKLIN / ELGIN",,  43.391193, -80.302193,,,0,
1492,1492,"FRANKLIN / GLAMIS",,  43.385586, -80.301196,,,0,
1493,1493,"PATH TO THE GREENWAY",,  43.383275, -80.300259,,,0,
1494,1494,"FRANKLIN / AVENUE",,  43.380062, -80.299000,,,0,
1495,1495,"FRANKLIN / ATHLONE",,  43.375251, -80.297093,,,0,
1496,1496,"CLYDE / BLUEROCK",,  43.371608, -80.293274,,,0,
1497,1497,"CLYDE / BLUEROCK",,  43.372534, -80.290212,,,0,
1498,1498,"CLYDE / DOBBIE",,  43.373136, -80.287082,,,0,
1499,1499,"DOBBIE / CLYDE",,  43.372845, -80.285296,,,0,
1500,1500,"DOBBIE / ORION",,  43.370219, -80.284277,,,0,
1501,1501,"DOBBIE / SAVAGE",,  43.367800, -80.283355,,,0,
1502,1502,"100 SAVAGE",,  43.366548, -80.286283,,,0,
1503,1503,"FRANKLIN / HILLTOP",,  43.364746, -80.291895,,,0,
1504,1504,"FRANKLIN / MCLAREN",,  43.361247, -80.290248,,,0,
1505,1505,"SOUTH CAMBRIDGE SHOPPING CTR",,  43.357898, -80.289679,,,0,
1506,1506,"MAIN / ALEXANDER",,  43.357140, -80.293797,,,0,
1507,1507,"MAIN / ELGIN",,  43.356592, -80.296802,,,0,
1508,1508,"CONCESSION / SCRIMGER",,  43.355844, -80.301216,,,0,
1509,1509,"CONCESSION / PECK",,  43.355376, -80.304097,,,0,
1510,1510,"CONCESSION / CAMERON",,  43.354863, -80.307126,,,0,
1511,1511,"Ainslie Terminal",,  43.357170, -80.313529,,,0,place_AST
1512,1512,"Ainslie Terminal",,  43.357332, -80.313503,,,0,place_AST
1514,1514,"Ainslie Terminal",,  43.357656, -80.313462,,,0,place_AST
1516,1516,"Ainslie Terminal",,  43.357617, -80.312981,,,0,place_AST
1517,1517,"Ainslie Terminal",,  43.357580, -80.312759,,,0,place_AST
1518,1518,"Ainslie Terminal",,  43.357400, -80.312823,,,0,place_AST
1519,1519,"Ainslie Terminal",,  43.357275, -80.312960,,,0,place_AST
1520,1520,"Ainslie Terminal",,  43.357123, -80.313085,,,0,place_AST
1521,1521,"Ainslie Terminal",,  43.357015, -80.313198,,,0,place_AST
1522,1522,"Ainslie Terminal",,  43.356963, -80.313494,,,0,place_AST
1523,1523,"AINSLIE / WALNUT",,  43.354938, -80.314075,,,0,
1524,1524,"CONCESSION / CAMERON",,  43.354686, -80.307646,,,0,
1525,1525,"CONCESSION / PECK",,  43.355293, -80.303913,,,0,
1526,1526,"CONCESSION / SCRIMGER",,  43.355720, -80.301551,,,0,
1527,1527,"MAIN / ALEXANDER",,  43.357049, -80.293564,,,0,
1528,1528,"SOUTH CAMBRIDGE SHOPPING CTR",,  43.357718, -80.289731,,,0,
1529,1529,"FRANKLIN / MCLAREN",,  43.361711, -80.290317,,,0,
1530,1530,"FRANKLIN / SAVAGE",,  43.364962, -80.291769,,,0,
1531,1531,"55 SAVAGE",,  43.365935, -80.288944,,,0,
1532,1532,"111 SAVAGE",,  43.366581, -80.285752,,,0,
1533,1533,"DOBBIE / SAVAGE",,  43.367988, -80.283291,,,0,
1534,1534,"DOBBIE / ORION",,  43.369695, -80.283975,,,0,
1535,1535,"DOBBIE / CLYDE",,  43.373206, -80.285341,,,0,
1536,1536,"CLYDE / DOBBIE",,  43.373410, -80.286387,,,0,
1537,1537,"CLYDE / BLUEROCK",,  43.372564, -80.290681,,,0,
1538,1538,"CLYDE / FRANKLIN",,  43.371443, -80.294347,,,0,
1539,1539,"FRANKLIN / ATHLONE",,  43.375728, -80.297149,,,0,
1540,1540,"FRANKLIN / AVENUE",,  43.381107, -80.299186,,,0,
1541,1541,"FRANKLIN / ROBSON",,  43.385241, -80.300805,,,0,
1542,1542,"FRANKLIN / SAGINAW",,  43.392355, -80.302303,,,0,
1543,1543,"FRANKLIN / LINDSAY",,  43.396334, -80.303653,,,0,
1544,1544,"FRANKLIN / BISHOP",,  43.398923, -80.304463,,,0,
1545,1545,"FRANKLIN / RAGLIN",,  43.401215, -80.305227,,,0,
1546,1546,"FRANKLIN / TURNBULL",,  43.403633, -80.306002,,,0,
1547,1547,"FRANKLIN / SHELDON",,  43.405672, -80.306634,,,0,
1548,1548,"FRANKLIN / STAFFORD",,  43.407873, -80.307350,,,0,
1549,1549,"FRANKLIN / PINEBUSH",,  43.410408, -80.308087,,,0,
1550,1550,"FRANKLIN / HOLIDAY INN",,  43.417300, -80.310256,,,0,
1551,1551,"FAIRVIEW PARK TERMINAL",,  43.423211, -80.441337,,,0,place_FVM
1552,1552,"FAIRVIEW PARK TERMINAL",,  43.423103, -80.441189,,,0,place_FVM
1553,1553,"FAIRVIEW PARK TERMINAL",,  43.422904, -80.440981,,,0,place_FVM
1554,1554,"FAIRVIEW PARK TERMINAL",,  43.423012, -80.441141,,,0,place_FVM
1555,1555,"FAIRVIEW PARK TERMINAL",,  43.423121, -80.441288,,,0,place_FVM
1556,1556,"FAIRVIEW PARK TERMINAL",,  43.423239, -80.441435,,,0,place_FVM
1557,1557,"FAIRVIEW PARK TERMINAL",,  43.423047, -80.440869,,,0,place_FVM
1558,1558,"FAIRVIEW PARK TERMINAL",,  43.423328, -80.441237,,,0,place_FVM
1559,1559,"KINGSWAY / WILSON",,  43.423057, -80.442932,,,0,
1560,1560,"385 FAIRWAY",,  43.421344, -80.440674,,,0,
1561,1561,"FAIRWAY / KING",,  43.428236, -80.432234,,,0,
1562,1562,"3065 KING",,  43.427657, -80.429769,,,0,
1563,1563,"3227 KING",,  43.426157, -80.425113,,,0,
1564,1564,"KING / HOFSTETTER",,  43.425714, -80.423128,,,0,
1565,1565,"KING / RIVER",,  43.425112, -80.419774,,,0,
1566,1566,"KING / RIVERBANK",,  43.419574, -80.409178,,,0,
1567,1567,"KING / DEER RIDGE",,  43.410620, -80.399816,,,0,
1568,1568,"HELDMANN / KING",,  43.408459, -80.396355,,,0,
1569,1569,"SPORTSWORLD CROSSING",,  43.409414, -80.393072,,,0,place_SPW
1570,1570,"SPORTSWORLD CROSSING",,  43.410034, -80.393275,,,0,place_SPW
1571,1571,"SPORTSWORLD CROSSING",,  43.410281, -80.393101,,,0,place_SPW
1572,1572,"SPORTSWORLD CROSSING",,  43.410186, -80.392578,,,0,place_SPW
1573,1573,"GATEWAY PARK / SPORTSWORLD",,  43.407820, -80.391372,,,0,
1574,1574,"TU LANE / GATEWAY PARK",,  43.406260, -80.389177,,,0,
1575,1575,"SHANTZ HILL / PRESTON PKWY",,  43.399640, -80.375548,,,0,
1576,1576,"PRESTON / LINDEN",,  43.399359, -80.376860,,,0,
1577,1577,"PRESTON / KIWANIS VILLAGE",,  43.398527, -80.377980,,,0,
1578,1578,"PRESTON / PARKVIEW",,  43.396446, -80.377668,,,0,
1579,1579,"PRESTON / HILLVIEW",,  43.394807, -80.377746,,,0,
1580,1580,"PRESTON / WOODS",,  43.391880, -80.377492,,,0,
1581,1581,"PRESTON / FOUNTAIN",,  43.390832, -80.375317,,,0,
1582,1582,"FOUNTAIN / BAUMAN",,  43.395369, -80.373456,,,0,
1583,1583,"FOUNTAIN / SHANTZ HILL",,  43.397707, -80.371209,,,0,
1584,1584,"KING / FOUNTAIN",,  43.399817, -80.368446,,,0,
1585,1585,"KING / CHOPIN",,  43.399029, -80.364453,,,0,
1586,1586,"KING / WATERLOO",,  43.397255, -80.361199,,,0,
