block_id,route_id,trip_headsign,service_id,shape_id,trip_id
a_8102,201,UW/LAURIER,muwtf_merged_998604,20101,547831
a_8101,201,UW/LAURIER,muwtf_merged_998604,20101,547830
a_8101,201,UW/LAURIER,muwtf_merged_998604,20101,547833
a_8103,201,UW/LAURIER,muwtf_merged_998604,20101,547832
a_8103,201,UW/LAURIER,muwtf_merged_998604,20101,547835
a_8102,201,UW/LAURIER,muwtf_merged_998604,20101,547834
a_8102,201,UW/LAURIER,muwtf_merged_998604,20101,547837
a_8101,201,UW/LAURIER,muwtf_merged_998604,20101,547836
a_8101,201,UW/LAURIER,muwtf_merged_998604,20101,547839
a_8103,201,UW/LAURIER,muwtf_merged_998604,20101,547838
a_2031,6,Downtown,a_merged_998602,601,549305
a_631,6,Downtown,a_merged_998602,601,549304
a_631,6,Bridgeport,a_merged_998602,600,549307
a_631,6,Downtown,a_merged_998602,601,549306
a_631,6,Downtown,a_merged_998602,601,549301
a_631,6,Downtown,a_merged_998602,601,549300
a_2031,6,Downtown,a_merged_998602,601,549303
a_631,6,Downtown,a_merged_998602,601,549302
b_5136,71,Tri-City Centre via Franklin,a_merged_998605,7111,583521
a_331,3,Ottawa South,a_merged_998602,300,549309
a_332,3,Ottawa South,a_merged_998602,300,549308
a_2401,24,Highland to Downtown,a_merged_998602,2411,549806
b_804,8,Fairview via Weber/Courtland TA,a_merged_998605,815,581608
b_806,8,Fairview via Weber/Courtland TA,a_merged_998605,815,581609
a_2402,24,Highland,muwtf_merged_998604,2401,544568
a_2403,24,Highland,muwtf_merged_998604,2401,544569
a_2402,24,Highland,muwtf_merged_998604,2401,544566
a_2403,24,Highland,muwtf_merged_998604,2401,544567
a_2402,24,Highland,muwtf_merged_998604,2401,544564
a_2403,24,Highland,muwtf_merged_998604,2401,544565
a_2402,24,Highland,muwtf_merged_998604,2401,544562
a_2403,24,Highland,muwtf_merged_998604,2401,544563
a_2402,24,Highland,muwtf_merged_998604,2401,544560
a_2403,24,Highland,muwtf_merged_998604,2401,544561
a_5132,65,Tri-City Centre,muwtf_merged_998604,6511,548402
a_5132,65,Tri-City Centre,muwtf_merged_998604,6511,548405
a_5131,65,Tri-City Centre,muwtf_merged_998604,6511,548404
a_5131,65,Tri-City Centre,muwtf_merged_998604,6511,548407
b_131,15,Frederick,a_merged_998605,1501,582110
a_5133,65,Tri-City Centre,muwtf_merged_998604,6511,548406
b_701,7,E UW via Columbia,a_merged_998605,706,583567
b_702,7,C Conestoga Mall,a_merged_998605,707,583566
b_711,7,C Conestoga Mall,a_merged_998605,707,583565
b_5432,58,Elmwood,muwtf_merged_998607,5800,559627
b_5431,58,Elmwood,muwtf_merged_998607,5800,559626
b_5431,58,Elmwood,muwtf_merged_998607,5800,559625
b_5431,58,Elmwood,muwtf_merged_998607,5800,559624
b_5431,58,Elmwood,muwtf_merged_998607,5800,559623
b_5431,58,Elmwood,muwtf_merged_998607,5800,559622
b_5432,58,Elmwood,muwtf_merged_998607,5800,559621
b_5431,58,Elmwood,muwtf_merged_998607,5800,559620
b_712,7,C Conestoga Mall,a_merged_998605,707,583563
b_701,7,C Conestoga Mall,a_merged_998605,707,583562
a_803,8,Fairview via Westmount/East TR,s_merged_998603,813,552639
a_851,8,Fairview via Westmount/East TR,s_merged_998603,813,552638
b_1132,20,Victoria Hills to Downtown,muwtf_merged_998607,2011,561792
b_1133,20,Victoria Hills to Downtown,muwtf_merged_998607,2011,561793
b_1131,20,Victoria Hills to Downtown,muwtf_merged_998607,2011,561794
b_631,20,Victoria Hills to Downtown,muwtf_merged_998607,2011,561795
b_632,20,Victoria Hills to Downtown,muwtf_merged_998607,2011,561796
b_1132,20,Victoria Hills to Downtown,muwtf_merged_998607,2011,561797
a_804,8,Fairview via Westmount/East TR,s_merged_998603,813,552631
a_803,8,Fairview via Westmount/East TR,s_merged_998603,813,552630
a_804,8,Fairview via Westmount/East TR,s_merged_998603,813,552633
a_803,8,Fairview via Westmount/East TR,s_merged_998603,813,552632
a_803,8,Fairview via Westmount/East TR,s_merged_998603,813,552635
a_803,8,Fairview via Westmount/East TR,s_merged_998603,813,552634
a_803,8,Fairview via Westmount/East TR,s_merged_998603,813,552637
a_851,8,Fairview via Westmount/East TR,s_merged_998603,813,552636
a_936,5,Erb West,a_merged_998602,501,550703
a_931,5,Erb West,a_merged_998602,501,550702
a_937,5,Erb West,a_merged_998602,501,550701
a_932,5,Erb West,a_merged_998602,501,550700
a_932,5,Erb West,a_merged_998602,501,550707
a_935,5,Erb West,a_merged_998602,501,550706
a_933,5,Erb West,a_merged_998602,501,550705
a_934,5,Erb West,a_merged_998602,501,550704
a_5131,51,Hespeler Road to Hespeler,a_merged_998602,5101,550259
a_5132,51,Hespeler Road to Hespeler,a_merged_998602,5101,550258
a_931,5,Erb West,a_merged_998602,501,550709
a_937,5,Erb West,a_merged_998602,501,550708
a_712,7,D UW via University,muwtf_merged_998604,708,545215
a_705,7,D UW via University,muwtf_merged_998604,708,545214
a_731,7,D UW via University,muwtf_merged_998604,708,545213
b_5232,52,Fairview via Preston Pkwy,s_merged_998606,5201,585109
b_631,11,Downtown,muwtf_merged_998607,1111,561648
a_704,7,D UW via University,muwtf_merged_998604,708,545212
a_940,5,Erb West,muwtf_merged_998604,501,546300
a_932,5,Erb West,muwtf_merged_998604,501,546301
a_934,5,Erb West,muwtf_merged_998604,501,546302
a_931,5,Erb West,muwtf_merged_998604,501,546303
a_940,5,Erb West,muwtf_merged_998604,501,546304
a_936,5,Erb West,muwtf_merged_998604,501,546305
